Date,CP,n_headlines,sentiment_mean,sentiment_std,positive_share,negative_share,neutral_share,pos_score_mean,neg_score_mean,sentiment_trend,sentiment_reversal,sentiment_change,return_1d,return_5d,volatility_5d,roll_max_5d,roll_min_5d,cp_lag1,cp_lag2,fwd_return,target
2023-10-03,4229.45,29,0.2758620689655172,0.7510255713802261,0.4482758620689655,0.1724137931034483,0.3793103448275862,0.44732475,0.16927719,0.1981368186874304,0,0.1508620689655172,-0.01374408577578079,-0.010314657905759361,0.0072458289847993134,4299.7,4229.45,4288.39,4288.05,0.01869037345281299,1
2023-10-04,4263.75,16,-0.0625,0.9287087810503356,0.375,0.4375,0.1875,0.35372132,0.43316755,0.112787356321839,1,-0.3383620689655172,0.008109801510834735,-0.0025172475909519543,0.008596801675924496,4299.7,4229.45,4229.45,4288.39,0.016865435356200553,1
2023-10-05,4258.19,12,0.5,0.5222329678670935,0.5,0.0,0.5,0.47804072,0.09346477,0.2377873563218391,1,0.5625,-0.0013040164174730196,-0.009654161918273396,0.007832713733439101,4288.39,4229.45,4263.75,4229.45,0.023495898492082334,1
2023-10-06,4308.5,21,0.2857142857142857,0.8451542547285166,0.5238095238095238,0.238095238095238,0.238095238095238,0.50632125,0.24405393,0.2410714285714285,0,-0.2142857142857143,0.011814879091820885,0.0047690675248655,0.009887552294111169,4308.5,4229.45,4258.19,4263.75,0.01588719972148067,1
2023-10-09,4335.66,21,0.0952380952380952,0.8309489698388166,0.3809523809523809,0.2857142857142857,0.3333333333333333,0.35685045,0.29014897,0.2936507936507936,0,-0.1904761904761904,0.006303818034118613,0.01102278477470553,0.010132848439715323,4335.66,4229.45,4308.5,4258.19,0.003217503217503248,0
2023-10-10,4358.24,20,0.25,0.9665456669582608,0.6,0.35,0.05,0.5728773,0.37612095,0.2103174603174603,0,0.1547619047619047,0.005207972949908379,0.030450767830332515,0.00480439487516103,4358.24,4258.19,4335.66,4308.5,-0.006989059803957587,-1
2023-10-11,4376.95,24,0.4166666666666667,0.8297022339981069,0.625,0.2083333333333333,0.1666666666666666,0.64359075,0.20361693,0.2539682539682539,0,0.1666666666666666,0.004293017364807916,0.02654939900322484,0.004692547832470866,4376.95,4258.19,4358.24,4335.66,-0.0007585190600760683,0
2023-10-12,4349.61,15,0.3333333333333333,0.8997354108424374,0.6,0.2666666666666666,0.1333333333333333,0.566853,0.26070902,0.3333333333333333,0,-0.0833333333333333,-0.006246358765807258,0.021469215793564977,0.006567640980704218,4376.95,4308.5,4376.95,4358.24,0.005423474748310841,1
2023-10-13,4327.78,22,0.0909090909090909,0.9211323729436766,0.4545454545454545,0.3636363636363636,0.1818181818181818,0.44806913,0.33691806,0.2803030303030303,0,-0.2424242424242424,-0.005018840769632216,0.004474875246605503,0.006028583022053504,4376.95,4327.78,4349.61,4376.95,-0.003045441311711583,0
2023-10-16,4373.63,33,0.0909090909090909,0.9139076937674137,0.4545454545454545,0.3636363636363636,0.1818181818181818,0.47543305,0.3656394,0.1717171717171717,0,0.0,0.010594346293018697,0.008757605531799051,0.007183394916000945,4376.95,4327.78,4327.78,4349.61,-0.021865132624387495,-1
2023-10-17,4373.2,20,0.15,0.812727700887249,0.4,0.25,0.35,0.40320253,0.208756,0.1106060606060606,0,0.059090909090909,-9.831650139591197e-05,0.0034325782884834233,0.006935454161341827,4376.95,4327.78,4373.63,4327.78,-0.03408030732644285,-1
2023-10-18,4314.6,23,0.3043478260869565,0.8221248859286776,0.5217391304347826,0.217391304347826,0.2608695652173913,0.5429934,0.18770319,0.1817523056653491,0,0.1543478260869565,-0.013399798774352711,-0.014245079336067223,0.008886201008196848,4373.63,4314.6,4373.2,4373.63,-0.02261159783062172,-1
2023-10-19,4278.0,23,0.3478260869565217,0.8316847989130756,0.5652173913043478,0.217391304347826,0.217391304347826,0.5095156,0.22561072,0.267391304347826,0,0.0434782608695651,-0.00848282575441528,-0.01646354500748337,0.009153194515048792,4373.63,4278.0,4314.6,4373.2,-0.007087424029920464,-1
2023-10-20,4224.16,28,0.3928571428571428,0.6288900106557946,0.4642857142857143,0.0714285714285714,0.4642857142857143,0.44888607,0.09515288,0.348343685300207,0,0.0450310559006211,-0.012585320243104325,-0.023942991556872073,0.010089877644713915,4373.63,4224.16,4278.0,4314.6,-0.00885146395969838,-1
2023-10-23,4217.04,17,0.3529411764705882,0.7859052479933758,0.5294117647058824,0.1764705882352941,0.2941176470588235,0.49419925,0.18062145,0.3645414687614176,0,-0.0399159663865545,-0.001685542214310054,-0.03580321151995025,0.006121995039704713,4373.2,4217.04,4224.16,4278.0,-0.018925597101284386,-1
2023-10-24,4247.68,16,0.125,0.806225774829855,0.375,0.25,0.375,0.36617446,0.26065946,0.290266106442577,0,-0.2279411764705882,0.00726575986948208,-0.028702094576053994,0.008640535125757784,4314.6,4217.04,4217.04,4224.16,-0.030677923007382923,-1
2023-10-25,4186.77,14,0.3571428571428571,0.7449463436684919,0.5,0.1428571428571428,0.3571428571428571,0.49875697,0.13798401,0.2783613445378151,0,0.2321428571428571,-0.014339592436341642,-0.02962731191767487,0.00885534654203633,4278.0,4186.77,4247.68,4217.04,-0.004765009780809737,0
2023-10-26,4137.23,18,0.4444444444444444,0.6156987634551992,0.5,0.0555555555555555,0.4444444444444444,0.4986825,0.051057544,0.3088624338624338,0,0.0873015873015872,-0.01183251050332379,-0.032905563347358724,0.009212890797494712,4247.68,4137.23,4186.77,4247.68,0.013673399835155475,1
2023-10-27,4117.37,21,0.4761904761904761,0.749603069567329,0.6190476190476191,0.1428571428571428,0.238095238095238,0.59911525,0.13596219,0.4259259259259259,0,0.0317460317460317,-0.004800313253070176,-0.025280765880080325,0.008592944680117575,4247.68,4117.37,4137.23,4186.77,0.02926382618030443,1
2023-10-30,4166.82,34,0.088235294117647,0.9000891221470719,0.4411764705882353,0.3529411764705882,0.2058823529411764,0.42216527,0.35053736,0.3362900715841891,0,-0.3879551820728291,0.012010093822027113,-0.011908827044562087,0.011601152190678157,4247.68,4117.37,4117.37,4137.23,0.03622906677034288,1
2023-10-31,4193.8,20,0.6,0.7539370349250519,0.75,0.15,0.1,0.72227514,0.1683971,0.388141923436041,0,0.5117647058823529,0.006474961721408823,-0.012684571342474027,0.011441764189688178,4193.8,4117.37,4166.82,4117.37,0.03923410749201195,1
2023-11-01,4237.86,21,-0.1428571428571428,0.9102589898327996,0.3333333333333333,0.4761904761904761,0.1904761904761904,0.3609377,0.4670058,0.1817927170868347,1,-0.7428571428571429,0.010505985025513809,0.012202724295817369,0.010356753978027641,4237.86,4117.37,4193.8,4166.82,0.030232239856908816,1
